Series,Test Statistic,p-value,Lags Used,Observations,Critical Value 1%,Critical Value 5%,Critical Value 10%,Is Stationary
Original Close,-0.8008566356421022,0.8188703078773959,13,763,-3.4389495235166416,-2.8653354363373253,-2.56879107669766,False
First-Differenced Close,-8.25737978018479,5.193089999670885e-13,12,763,-3.4389495235166416,-2.8653354363373253,-2.56879107669766,True
