Model,Order/Weights,MAE,RMSE,MAPE,DA,total_buy_profit,total_sell_profit,total_profit,profit_per_trade,trading_accuracy
GRU Baseline,N/A,2.225560188293457,2.5751090049743652,2.119950018823147,44.827586206896555,0.0777130126953125,-22.66630554199233,-22.588592529297017,-0.09736462297110783,44.827586206896555
"Fixed ARIMA(1,1,1) Baseline","(1,1,1)",0.7763760298617917,0.9828900669887818,0.7460214727067156,50.43103448275862,13.723464965820355,-9.020553588867287,4.702911376953068,0.020271169728245983,50.43103448275862
"Residual Hybrid (1,1,1)","ARIMA(1,1,1)+GRU",0.767737400000039,0.9772261841434825,0.7383720271172458,56.03448275862068,29.858924865722784,7.114906311035142,36.973831176757926,0.15936996196878417,56.03448275862068
"Fixed ARIMA(2,1,2) Baseline","(2,1,2)",0.7729084074233149,0.9852278328892783,0.7436462810449341,51.293103448275865,16.54933929443368,-6.194679260253963,10.354660034179716,0.04463215531974016,51.293103448275865
"Residual Hybrid (2,1,2)","ARIMA(2,1,2)+GRU",0.7666384781160306,0.9796988159898269,0.7381606529951346,52.58620689655172,16.54691314697277,-6.197105407714872,10.349807739257898,0.04461124025542197,52.58620689655172
"Fixed ARIMA(5,1,0) Baseline","(5,1,0)",0.7804426492698933,0.9950720944472871,0.7506033283360805,49.56896551724138,11.667015075683707,-11.077003479003935,0.5900115966797728,0.0025431534339645377,49.56896551724138
"Residual Hybrid (5,1,0)","ARIMA(5,1,0)+GRU",0.7757491187819799,0.9907583224345081,0.7463950494551193,52.1551724137931,17.378135681152386,-5.365882873535256,12.01225280761713,0.05177695175697039,52.1551724137931
